NMec = 2020
T = 31
P = 5
Profits not ignored
Solution time = 4.893e+02
Task data
    1  59 12354
    4  23  5036
    6  19  3206
    7  43  3573
    8  12   984
    8  18  1574
    9  24  2954
   11  20  2170
   11  22  2564
   11  22  2937
   15  30  1077
   16  36  2630
   18  30  3009
   25  35  2793
   25  44  1845
   25  47  4667
   28  47  5289
   29  39  1523
   29  44  3011
   33  40  1044
   33  49  1829
   34  41   756
   35  47  1743
   36  47  2353
   36  48  2816
   38  55  2502
   39  52  3050
   42  56  1302
   45  58  3533
   46  60  2817
   47  51   929
End
