NMec = 98324
T = 29
P = 3
Profits not ignored
Solution time = 3.194e+01
Task data
    2  91 18179
    5  22  3964
    7  40  4578
    8  20  2423
   10  26  1223
   10  28  2771
   10  96  7635
   14  23   822
   29  38  1338
   29  48  1615
   32  42  2328
   44  51  1272
   44  65  3570
   45  48   472
   50  74  2900
   52  68  2645
   53  64  3529
   55  77  2980
   56  77  2000
   56  80  3248
   60  76  2801
   60  88  3370
   65  78  2274
   70  77  1473
   70  79  1182
   72  78   828
   72  83  3247
   86  94  1359
   91  96   622
End
